"Timestamp","NO2-PreScaled","NO2-Scaled","NO2-Flags","PM10-PreScaled","PM10-Scaled","PM10-Flags","PM2.5-PreScaled","PM2.5-Scaled","PM2.5-Flags"
"2019-06-22 00:00:00","11.47","15.509","Valid","4.708","4.708","Valid","3.779","3.779","Valid"
"2019-06-22 00:15:00","10.906","14.945","Valid","5.623","5.623","Valid","5.184","5.184","Valid"
"2019-06-22 00:30:00","10.991","15.03","Valid","5.905","5.905","Valid","5.626","5.626","Invalid (1)"
"2019-06-22 00:45:00","11.944","15.983","Valid","5.619","5.619","Valid","5.493","5.493","Valid"
"2019-06-22 01:00:00","12.24","16.279","Valid","5.661","5.661","Valid","5.469","5.469","Invalid (1)"
"2019-06-22 01:15:00","10.477","14.516","Valid","4.826","4.826","Valid","4.661","4.661","Invalid (1)"
"2019-06-22 01:30:00","11.253","15.292","Valid","3.438","3.438","Valid","3.035","3.035","Valid"
"2019-06-22 01:45:00","12.091","16.13","Valid","3.865","3.865","Valid","3.218","3.218","Valid"
"2019-06-22 02:00:00","15.523","19.562","Valid","5.219","5.219","Valid","3.875","3.875","Valid"
"2019-06-22 02:15:00","14.922","18.961","Valid","4.837","4.837","Valid","4.265","4.265","Valid"
"2019-06-22 02:30:00","13.923","17.962","Valid","4.525","4.525","Valid","3.962","3.962","Valid"
"2019-06-22 02:45:00","16.126","20.165","Valid","5.434","5.434","Valid","4.541","4.541","Valid"
"2019-06-22 03:00:00","14.555","18.594","Valid","5.941","5.941","Valid","5.015","5.015","Valid"
"2019-06-22 03:15:00","14.061","18.1","Valid","5.661","5.661","Valid","5.008","5.008","Valid"
"2019-06-22 03:30:00","13.483","17.522","Valid","5.511","5.511","Valid","5.019","5.019","Valid"
"2019-06-22 03:45:00","12.901","16.94","Valid","6.227","6.227","Valid","5.035","5.035","Valid"
"2019-06-22 04:00:00","12.547","16.586","Valid","5.831","5.831","Valid","4.819","4.819","Valid"
"2019-06-22 04:15:00","12.589","16.628","Valid","5.834","5.834","Valid","4.693","4.693","Valid"
"2019-06-22 04:30:00","12.373","16.412","Valid","5.558","5.558","Valid","4.732","4.732","Valid"
"2019-06-22 04:45:00","11.675","15.714","Valid","5.057","5.057","Valid","4.326","4.326","Valid"
"2019-06-22 05:00:00","11.816","15.855","Valid","4.535","4.535","Valid","3.851","3.851","Valid"
"2019-06-22 05:15:00","11.816","15.855","Valid","4.835","4.835","Valid","3.818","3.818","Valid"
"2019-06-22 05:30:00","12.096","16.135","Valid","4.598","4.598","Valid","3.639","3.639","Valid"
"2019-06-22 05:45:00","11.529","15.568","Valid","4.15","4.15","Valid","3.563","3.563","Valid"
"2019-06-22 06:00:00","12.216","16.255","Valid","4.652","4.652","Valid","3.491","3.491","Valid"
"2019-06-22 06:15:00","13.196","17.235","Valid","4.313","4.313","Valid","3.228","3.228","Valid"
"2019-06-22 06:30:00","12.191","16.23","Valid","3.751","3.751","Valid","2.997","2.997","Valid"
"2019-06-22 06:45:00","12.697","16.736","Valid","3.531","3.531","Valid","3.051","3.051","Valid"
"2019-06-22 07:00:00","11.627","15.666","Valid","2.667","2.667","Valid","2.167","2.167","Valid"
"2019-06-22 07:15:00","11.366","15.405","Valid","2.437","2.437","Valid","1.939","1.939","Valid"
"2019-06-22 07:30:00","12.775","16.814","Valid","1.85","1.85","Valid","1.365","1.365","Invalid (1)"
"2019-06-22 07:45:00","12.464","16.503","Valid","1.889","1.889","Valid","1.769","1.769","Valid"
"2019-06-22 08:00:00","11.579","15.618","Valid","3.892","3.892","Valid","4.191","4.191","Valid"
"2019-06-22 08:15:00","11.784","15.823","Valid","1.833","1.833","Valid","1.855","1.855","Valid"
"2019-06-22 08:30:00","10.745","14.784","Valid","1.915","1.915","Valid","1.509","1.509","Invalid (1)"
"2019-06-22 08:45:00","10.335","14.374","Valid","1.258","1.258","Valid","1.404","1.404","Invalid (1)"
"2019-06-22 09:00:00","10.119","14.158","Valid","1.191","1.191","Valid","1.248","1.248","Invalid (1)"
"2019-06-22 09:15:00","10.485","14.524","Valid","1.16","1.16","Valid","1.324","1.324","Valid"
"2019-06-22 09:30:00","8.631","12.67","Valid","1.167","1.167","Valid","1.294","1.294","Invalid (1)"
"2019-06-22 09:45:00","8.488","12.527","Valid","1.077","1.077","Valid","1.199","1.199","Invalid (1)"
"2019-06-22 10:00:00","9.229","13.268","Valid","1.082","1.082","Valid","1.281","1.281","Invalid (1)"
"2019-06-22 10:15:00","10.02","14.059","Valid","1.39","1.39","Valid","1.401","1.401","Invalid (1)"
"2019-06-22 10:30:00","8.597","12.636","Valid","1.485","1.485","Valid","1.455","1.455","Invalid (1)"
"2019-06-22 10:45:00","10.167","14.206","Valid","1.29","1.29","Valid","1.509","1.509","Invalid (1)"
"2019-06-22 11:00:00","7.977","12.016","Valid","1.671","1.671","Valid","1.579","1.579","Invalid (1)"
"2019-06-22 11:15:00","8.683","12.722","Valid","1.667","1.667","Valid","1.421","1.421","Invalid (1)"
